TYPE,BRAND,FLEET,QAIG,REG/PLAT,MODEL,CAPACITY,CHASIS,FLEET S/N,OWNERSHIP,REMARKS
TYPE-> GENERATOR-B,BRAND-> CAT,FLEET-> GE500KVA-01,CAT.GENSET-500KVA,REG/PLATE-> YARD,MODEL-> C15-(FTH10409),N/A,CHASIS-> 00C15CLXJ03065,S/N-> N/A,OWNERSHIP-> N/A,
TYPE-> GENERATOR-C,BRAND-> VOLVO-EICHER,FLEET-> GE-50KVA-01,2021,REG/PLATE-> YARD,MODEL-> EE483TCI,N/A,CHASIS-> EXVE200335,S/N-> N/A,OWNERSHIP-> N/A,
TYPE-> TRUCK,BRAND-> MAN,FLEET-> T-1635,QAIG-TH-072,REG/PLATE-> 103761,MODEL-> TGS-33.400,N/A,CHASIS-> WMA26WZZ6HM728391,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> TRUCK,BRAND-> MAN,FLEET-> T-1636,QAIG-TH-073,REG/PLATE-> 103824,MODEL-> TGS-33.400,N/A,CHASIS-> WMA26WZZ8HM728196,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> TRUCK,BRAND-> MAN,FLEET-> T-5447,QAIG-TH-066,REG/PLATE-> 269554,MODEL-> TGS-19.360,N/A,CHASIS-> WMA03WZZ1DM614888,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> TRUCK,BRAND-> MAN,FLEET-> T-5448,QAIG-TH-067,REG/PLATE-> 269552,MODEL-> TGS-19.360,N/A,CHASIS-> WMA03WZZ7DM614894,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> TRUCK,BRAND-> HINO,FLEET-> T-8870,QAIG-TH-031,REG/PLATE-> 68448,MODEL-> 700-2045,N/A,CHASIS-> JHDSH1EF081S10573,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> TRUCK,BRAND-> HINO,FLEET-> T-8868,QAIG-TH-030,REG/PLATE-> 68472,MODEL-> 700-2045,N/A,CHASIS-> JHDSH1EF381S10566,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> TRUCK,BRAND-> HINO,FLEET-> T-8959,QAIG-TH-048,REG/PLATE-> 208968,MODEL-> 700-2045,N/A,CHASIS-> JHDSH1EF391S11399,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> TRUCK,BRAND-> HINO,FLEET-> T-8960,QAIG-TH-049,REG/PLATE-> 208894,MODEL-> 700-2045,N/A,CHASIS-> JHDSH1EF291S11404,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> TRUCK,BRAND-> MAN,FLEET-> T-3265,QAIG-TH-041,REG/PLATE-> 49505,MODEL-> TGA33.480,N/A,CHASIS-> WMAH28ZZ99P013641,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> TRUCK,BRAND-> MAN,FLEET-> T-3176,QAIG-TH-046,REG/PLATE-> 202215,MODEL-> TGA33.400,N/A,CHASIS-> WMAHW2ZZ89M536037,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> TRUCK,BRAND-> MAN,FLEET-> T-8583,QAIG-TH-021,REG/PLATE-> 184165,MODEL-> TGA33.400,N/A,CHASIS-> WMAHW2ZZ57M476814,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
